artist,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,nationality,genre,decade_of_prominence,birth_year,instruments,character_count
ADELE,-0.41166621484037785,0.024876457630229113,0.02617714208486385,0.03540326459930607,-0.11824594447505074,0.018966742437224897,5.700553495506401e-05,0.5981000554346048,-0.16149287144388066,-0.14972826904150463,British,"Pop, Soul",2010s,1988,"['Vocals', 'Piano']",76812
AMY WINEHOUSE,-0.39525194182189893,0.003733315107804419,0.020189161681563265,0.033223428725931724,-0.0733256539431139,-0.03259281718287574,0.5878671878901144,-0.25273775520432923,-0.1482086738453858,-0.10794102459224655,British,"Jazz, R&B, Soul",2000s,1983,"['Vocals', 'Guitar']",52459
ARIANA GRANDE,-0.41333912994655997,0.038730169515260406,0.011195938488199081,0.03060214148697935,-0.2651360032668134,0.009214054056911489,-0.43682595511862243,-0.31252444273652524,-0.07590285447329695,-0.2799045112906269,American,"Pop, R&B",2010s,1993,"['Vocals', 'Piano']",89008
BEYONCE,0.4831267699351399,0.3576189479404417,0.3515836732690427,0.4173286583183554,0.014179576452767953,-0.5702627470548992,-0.015143331129647056,0.007673616752591823,0.0207003073307695,0.010764677340511798,American,"Pop, R&B",2000s,1981,"['Vocals', 'Piano']",146783
CYNDI LAUPER,0.4376838606135671,-0.11656146935519239,0.6230401468036839,-0.015193811713557595,-0.011277605450237276,0.6082638422210024,0.01155430967333227,-0.012009304152146173,0.019121736209769515,-0.0006172037667106271,American,"Pop, Rock",1980s,1953,"['Vocals', 'Guitar']",54669
DOLLY PARTON,0.3826927345462039,-0.5754403623913064,0.0037055525078228757,-0.5413758040538748,-0.17971278520317535,-0.3937698095740367,-0.003348874185854034,0.01699996158527196,0.010497517370248306,0.0059826125368482785,American,"Country, Pop",1970s,1946,"['Vocals', 'Guitar']",59805
DUA LIPA,0.44095138009706153,-0.3459839120638753,-0.5691113702189223,0.5555977992332121,-0.06985098639566664,0.19319436014800054,0.005727660265204349,0.0037026370518378894,0.013437473633478421,0.004372939833956913,British," Dance-pop, Pop",2020s,1995,['Vocals'],84067
LAURYN HILL,0.4298527300812367,0.6458882129122088,-0.39096440327442183,-0.42889350748755145,-0.13488647909635387,0.17584840937471666,0.030910194492281214,0.007233228413055646,0.025054619963217277,0.012854162078888082,American,"Hip-Hop, R&B",1990s,1975,"['Vocals', 'Guitar']",129809
PINK,-0.052611606894736075,-0.03308817549349601,-0.08796076812802318,-0.11626117710761538,0.8528727051517705,-0.01414142046579366,-0.11230644664365172,-0.049136762211983875,-0.18560898585210786,0.00708325530419467,American,"Pop, Rock",2000s,1979,"['Vocals', 'Guitar']",93059
TAYLOR SWIFT,-0.43217526576672427,-0.01416600090875481,-0.013736173451035926,-0.008319831173923983,0.17265108654374334,-0.009057361937986598,0.040463660756844363,0.038660206047742285,0.5686781287072236,-0.027288084275355697,American,"Country, Pop",2000s,1989,"['Vocals', 'Guitar', 'Piano']",96348
WHITNEY HOUSTON,-0.4692633160029071,0.014392817106676186,0.02588110023722923,0.03788883917273709,-0.18726791031786416,0.014336747977731115,-0.10895541153496086,-0.045961440980123176,-0.08627639760004169,0.5244214458720459,American,"Pop, R&B",1980s,1963,"['Vocals', 'Piano']",84037
