artist,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
ADELE,0.3165829145728643,0.2814070351758794,0.20100502512562815,0.35678391959798994,0.3015075376884422,0.3417085427135678,0.1457286432160804,0.34673366834170855,-0.17587939698492464
AMY WINEHOUSE,0.3103448275862069,0.26108374384236455,0.20689655172413793,0.33497536945812806,0.3054187192118227,0.3793103448275862,0.15270935960591134,0.3103448275862069,-0.18719211822660098
ARIANA GRANDE,0.3352941176470588,0.27647058823529413,0.20588235294117646,0.3058823529411765,0.3,0.3235294117647059,0.15294117647058825,0.31176470588235294,-0.18235294117647058
BEYONCE,0.11764705882352941,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.23529411764705882,0.17647058823529413,0.4117647058823529,0.11764705882352941
CYNDI LAUPER,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.2727272727272727
DOLLY PARTON,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.45454545454545453
DUA LIPA,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.09090909090909091
LAURYN HILL,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.3157894736842105,-0.21052631578947367
PINK,0.2619047619047619,0.21428571428571427,0.19047619047619047,0.35714285714285715,0.35714285714285715,0.4523809523809524,0.14285714285714285,0.2857142857142857,-0.11904761904761904
TAYLOR SWIFT,0.3333333333333333,0.2801418439716312,0.21631205673758866,0.39361702127659576,0.3120567375886525,0.33687943262411346,0.1524822695035461,0.2872340425531915,-0.19148936170212766
WHITNEY HOUSTON,0.19791666666666666,0.359375,0.125,0.2708333333333333,0.453125,0.28125,0.18229166666666666,0.4479166666666667,0.13020833333333334
