topic_id,top_terms,doc_weight_sum,term_freq,mean_document_weight
T00,ayy ayy ayy sheesh sweetener river lea river lea help mix,12.864403758622375,0.03236217184716354,0.027966095127439895
T01,love ooh wait wait love wan trust say know goodnight,8.926963137698717,0.018203311708461668,0.01940644160369283
T02,shake shake shake gon fake tears dry play tears dry break,10.17550511149486,0.028598376764386427,0.022120663285858353
T03,ahooh san west got lost mind waste time waste time,9.021720663289445,0.009855144986168069,0.019612436224542236
T04,ai ava tears ai love love risk risk know got ai got,9.923295462693883,0.017389933470980383,0.021572381440638836
T05,told say baby told told shit say shit chest shit chest beg,7.714080943262088,0.014678731875936395,0.016769741181004508
T06,run run hands hands hair hair hands saving love saving love feeling,7.020342800407281,0.006139541095921787,0.015261614783494061
T07,look love look look knew say time got know said,15.697957221892516,0.03249205632738381,0.03412599396063584
T08,know love tell hear come day know know day come hear hear,15.603361978783338,0.020896106566343723,0.0339203521277898
T09,know somethin way need ima time got home space,18.494605732728296,0.05782877830296991,0.04020566463636579
T10,blow let say scars scars say woah lose war candy,7.709811832792474,0.003862259958099512,0.016760460506070565
T11,fake getting woo ah smile ah woo fake smile talk say,9.976772312549597,0.014683180435519047,0.0216886354620643
T12,focus wake know bum bum bum love woo wake wake ai,12.236302379287043,0.035706284989781574,0.026600657346276133
T13,love love love thank want thank thank ve want love love want hands,15.28289899544894,0.01834667239292575,0.0332236934683672
T14,know wan waitin man ya make tonight know know wait,11.548829529092368,0.028570145350239134,0.02510615115020075
T15,yeah hope august love tomorrow tomorrow remember case plans case plans,10.049114257410839,0.010485580442770384,0.021845900559588738
T16,hold love karma hands love love clap clap hands hands yall yall,10.790271846467041,0.032237514353108836,0.023457112709710914
T17,want want want got want got said know head make got want,12.44091562655542,0.02144438309435488,0.027045468753381298
T18,know love gon leave got said ooh ve nan,15.7182941254222,0.03882999995685446,0.03417020462048298
T19,baby rumour rumour rumour know ve time let love ai,14.933689287750331,0.054607268980383504,0.03246454192989196
T20,let yeah lord lord let want time car know getaway,13.766348641359132,0.035935320089619596,0.029926844872519797
T21,dance night wan imagine somebody ve hurts wan dance got,17.019689563171216,0.03740496300115844,0.03699932513732866
T22,gon baby did world gon alright alright know hey chance,8.385887650650167,0.010994832811806207,0.018230190544891632
T23,remember magic hair wind stairs wind hair mister magic mister nan,9.739587033371235,0.03235330344483325,0.021173015289937428
T24,need calm need calm calm need stop need stop step step gown glaad,6.585144765337338,0.004966607067702988,0.014315532098559404
T25,lover life lover life wan life lover time lover lover love sentence,9.8371710562081,0.014309643355957526,0.021385154470017567
T26,baby thinking want love tonight baby tonight look got know,9.0935819312518,0.028240230379082708,0.019768656372286485
T27,boy talking love love boy know boy talking tell need talking love,7.811747889210645,0.007825386011088018,0.01698206062871876
T28,shoop shoo love shoop shoop doop lights baby shoo doop know,15.998971770923019,0.037924158129473355,0.03478037341504998
T29,come got step baby moving bit brick feel got moving,10.93578066386547,0.024022777629665915,0.023773436225794458
T30,amy amy amy know let say ai want love say ai,12.650558850352096,0.029077251012359497,0.027501214892069723
T31,love bring bring love love bring thinking summer bring bring love love feel,11.050477997450294,0.017944954505784698,0.02402277825532668
T32,say know love woman ai make girlfriend whoa way,14.857609602208907,0.05911332283301606,0.03229915130914974
T33,lows highs ve highs highs lows lows tell ooh hello fall,12.668061423119743,0.03399318667132079,0.02753926396330374
T34,times thing meetings lie dies colors look know lie lie,8.379811200499866,0.004435107376284296,0.01821698087065185
T35,love say day ve save save day got love save feel,16.467570344823248,0.04384346821020258,0.03579906596700699
T36,forget time got idea got idea friends yeah arichan yeah forget,10.434970612727371,0.020738749358243862,0.02268471872332033
T37,belong belong belong wan talk way miss ve rock make,7.6602268264092395,0.01415101185758757,0.016652667013933097
T38,valerie gon valerie valerie lay ve come did way rolling,11.383341297694034,0.029486512969492725,0.024746394125421768
T39,giving know living ve wan ai wan living maroon heart,9.14432387571895,0.01602177038556717,0.019878964947215073
